City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,talcahuano,-36.7167,-73.1167,16.82,77,0,7.72,CL,1707519159
340,mejit,10.2753,170.8646,26.25,81,91,10.87,MH,1707519159
341,turpan,42.9333,89.1667,0.96,56,17,0.63,CN,1707519159
342,betare oya,5.6,14.0833,23.68,30,25,2.27,CM,1707519159
343,jamestown,42.097,-79.2353,15.77,56,75,5.66,US,1707519004
344,kiiminki,65.1314,25.7974,-19.57,75,100,0.38,FI,1707519159
345,saudarkrokur,65.7461,-19.6394,-10.09,77,100,3.25,IS,1707519160
346,shenandoah,30.4013,-91.0009,23.94,70,99,0.89,US,1707519160
347,iwon-up,40.3231,128.6553,-4.2,80,65,2.25,KP,1707519160
348,seminole,28.7086,-81.2081,24.15,59,100,1.54,US,1707519160
349,midvagur,62.0511,-7.1939,1.46,80,75,1.03,FO,1707519160
350,plastun,44.7561,136.2939,-8.27,72,100,2.28,RU,1707519160
351,papao,-17.75,-149.55,29.82,81,98,2.66,PF,1707519161
352,rouissat,31.9243,5.3502,20.04,13,40,6.17,DZ,1707519161
353,lerwick,60.1545,-1.1494,2.0,57,100,10.94,GB,1707519161
354,thief river falls,48.1191,-96.1812,-5.47,86,100,7.72,US,1707519161
355,anar darah,32.7587,61.654,10.52,25,0,1.54,AF,1707519161
356,bol,13.4586,14.7147,20.78,24,23,4.26,TD,1707519161
357,amasra,41.7463,32.3863,11.34,72,7,3.18,TR,1707519162
